elevation,slope,rainfall,ndvi,ndwi,landcover,flooded,row,col
0.0,0.0,2117.8933,-0.28755364,0.28138527,80.0,1,577,3710
0.0,0.0,1942.7592,-0.34637803,0.32848588,80.0,1,543,2105
0.0,0.0,1953.5609,-0.34803528,0.3496,80.0,1,475,2109
0.0,0.0,2025.4247,-0.18511327,0.17116524,80.0,1,407,2679
0.0,0.0,2102.569,-0.27993655,0.28334647,80.0,1,677,3832
0.0,0.0,1949.7275,-0.3562769,0.35903427,80.0,1,459,2118
0.0,0.0,1991.4792,-0.02952414,0.02783577,90.0,1,241,3112
0.0,0.0,2041.8146,0.22399428,-0.20590994,80.0,1,424,2845
0.0,0.0,2116.3315,-0.2851064,0.2771973,80.0,1,581,3715
0.0,0.0,2100.8557,-0.28193146,0.2802498,80.0,1,680,3822
0.0,0.0,1918.804,0.0,0.0,80.0,1,785,2694
0.006063073,2.8568838,1982.9039,0.0098637855,-0.03068073,80.0,1,554,3560
0.0,0.0,2012.6499,-0.27069697,0.24270292,80.0,1,402,2039
0.0,0.0,2063.3496,-0.25516403,0.25243902,80.0,1,631,3643
0.0,0.0,2024.1757,-0.24788949,0.23705722,80.0,1,344,2847
0.0,0.0,2250.8694,-0.28314456,0.29396325,80.0,1,480,3875
0.0,0.0,1896.3932,-0.37760314,0.36334404,80.0,1,653,2014
0.0,0.0,2276.1604,0.25513196,-0.21148403,90.0,1,436,4077
0.0,0.0,1501.0146,0.0,0.0,80.0,1,926,54
0.0,0.0,2261.6086,0.341005,-0.31132784,90.0,1,398,4062
0.0,0.0,1969.9645,-0.07163143,0.01703976,80.0,1,296,2752
0.0,0.0,2116.781,-0.18859366,0.20959596,80.0,1,745,4048
0.0,0.0,2096.185,-0.23041825,0.23737754,80.0,1,724,3834
0.0,0.0,2075.3237,-0.2253559,0.16791691,80.0,1,454,2529
2.8869872,3.22037,1777.438,0.095868856,-0.21736597,50.0,1,630,1903
0.0,0.0,1926.1393,-0.29050505,0.28267974,80.0,1,614,2169
0.0,0.0,2268.1187,0.38678595,-0.33753735,90.0,1,415,4125
0.0,0.0,2134.2249,-0.2319688,0.24279308,80.0,1,426,3688
0.0,0.0,1954.3528,-0.33094385,0.30835736,80.0,1,518,1971
0.0,0.0,2221.5425,-0.05828044,0.08673755,80.0,1,518,3979
0.0,0.0,1991.881,-0.31844988,0.2931411,80.0,1,445,2064
0.0,0.0,2246.291,0.19870311,-0.15897895,80.0,1,358,4057
0.0,0.0,2103.1948,-0.24349566,0.2559055,80.0,1,655,4014
0.0,0.0,1897.1322,-0.2606534,0.2524237,80.0,1,658,2014
0.0,0.0,2237.2048,0.0,0.0,80.0,1,918,4459
0.0,0.0,1926.135,-0.36459553,0.35296458,80.0,1,509,2150
0.0,0.0,1894.4261,0.12753531,-0.23479475,60.0,1,811,1955
0.0,0.0,2039.9127,0.17716637,-0.17837837,80.0,1,418,2841
0.0,0.0,1651.2123,0.0,0.0,80.0,1,903,257
0.0,0.0,2253.8088,-0.2784314,0.29411766,80.0,1,476,3884
0.0,0.0,1971.5795,-0.14394961,0.09724858,80.0,1,532,2455
0.0,0.0,1974.6533,-0.32914573,0.31185567,80.0,1,464,2084
0.0,0.0,2123.2317,-0.2712189,0.26464906,80.0,1,591,3771
0.0,0.0,1908.6141,-0.36661074,0.35053763,80.0,1,642,2058
0.0,0.0,1919.6276,-0.24980666,0.24777046,80.0,1,593,2036
0.0,0.0,1875.7755,-0.33656958,0.33006537,80.0,1,597,1998
0.0,0.0,2108.499,-0.012958963,0.021936866,80.0,1,684,4008
0.0,0.0,2164.2424,-0.20833333,0.22940432,80.0,1,558,3974
0.0,0.0,1733.5372,-0.19538905,0.079155676,80.0,1,834,736
0.0,0.0,2269.6558,0.028130172,0.012188659,80.0,1,422,4028
0.0,0.0,1973.1292,-0.085018575,0.01924353,80.0,1,532,2475
0.0,0.0,1966.1365,-0.34626263,0.3132428,80.0,1,516,1992
0.0,0.0,2011.3748,-0.3268921,0.2912251,80.0,1,460,2002
0.0,0.0,1959.2429,-0.14493255,0.13536201,80.0,1,494,2211
0.0,0.0,1872.7404,-0.2830307,0.2700032,80.0,1,587,2369
0.0,0.0,2004.6676,-0.08949611,0.103652515,80.0,1,517,2591
0.0,0.0,1862.4974,-0.33151114,0.31629393,80.0,1,579,1965
0.0,0.0,1550.8823,0.0,0.0,80.0,1,915,106
-2.0,0.0,1830.7885,-0.046855733,-0.05673274,80.0,1,660,1043
0.0,0.0,1992.4209,-0.06247912,0.07362166,80.0,1,273,3025
0.0,0.0,1884.5065,0.0,0.0,80.0,1,855,1229
0.22336185,2.1579387,1788.2959,-0.22338569,0.18223584,80.0,1,823,1800
0.0,0.0,2273.8628,-0.026376147,0.069078945,80.0,1,430,4033
0.0,0.0,2056.8784,-0.25829384,0.24213076,80.0,1,582,3624
0.0,0.0,1976.7703,-0.14020619,0.1108742,80.0,1,334,2084
0.0,0.0,2279.224,0.25575554,-0.21261115,90.0,1,444,4064
0.0,0.0,1946.3706,-0.06284018,0.03465851,80.0,1,583,3540
0.0,0.72499156,2116.781,0.4698727,-0.4255144,80.0,1,774,4080
0.0,0.0,1884.9017,-0.24526955,0.23350254,80.0,1,580,1988
0.0,0.0,2093.1309,0.0,0.0,80.0,1,606,4023
0.0,0.0,1870.9237,-0.17155555,0.13783534,80.0,1,658,2266
0.0,0.0,2113.1238,-0.2594524,0.26041666,80.0,1,603,3839
0.0,0.0,2122.1138,-0.2986369,0.2929419,80.0,1,573,3714
0.0,0.0,2108.9128,-0.2090784,0.22297297,80.0,1,660,3876
0.0,0.0,1915.3287,-0.37792104,0.37159136,80.0,1,624,2088
0.0,0.0,2110.4563,-0.070406415,0.08455468,80.0,1,623,3914
0.0,0.0,1934.1168,-0.27046955,0.25485533,80.0,1,536,2139
0.0,0.0,2024.1853,-0.24262169,0.22570533,80.0,1,345,2845
0.0,0.0,2248.8328,0.36554173,-0.32460374,90.0,1,505,4100
0.0,0.0,1815.6199,-0.41108713,0.36391914,80.0,1,620,1946
0.0,0.0,2020.136,-0.22971188,0.18875279,80.0,1,400,2701
0.0,0.0,2273.8628,0.0016120365,0.03168831,80.0,1,430,4129
0.0,0.0,1873.8038,0.086835295,-0.15589917,80.0,1,636,2275
0.0,0.0,1910.8344,-0.044596225,-0.019725557,80.0,1,534,3405
0.0,0.0,2010.0759,-0.017932834,-0.018599933,80.0,1,284,3118
0.0,0.0,1922.7949,-0.19703154,0.17687334,80.0,1,476,2163
0.0,0.0,2101.88,-0.27323943,0.29218107,80.0,1,655,4033
0.0,0.0,1911.5532,0.0,0.0,80.0,1,785,2765
0.0,0.0,2006.7084,-0.25478983,0.24376088,80.0,1,382,2696
0.0,0.0,2216.676,-0.007742704,0.053409092,90.0,1,525,4060
0.0,0.0,1877.1362,-0.31666666,0.31718394,80.0,1,612,2277
0.0,0.0,1936.6616,-0.35353535,0.3441072,80.0,1,579,2164
0.0,0.0,1897.4359,-0.34765926,0.3330718,80.0,1,596,2254
0.0,0.0,1879.2632,-0.28264868,0.17021276,80.0,1,828,1049
0.0,0.0,1936.7253,-0.18307856,0.18104063,80.0,1,569,2144
0.0,0.0,2095.2231,-0.26656395,0.26599845,80.0,1,713,3821
0.0,0.0,2010.4941,-0.10301693,0.07721423,80.0,1,296,3056
0.0,1.8772285,1886.0205,-0.16238381,0.11265566,80.0,1,768,1917
0.0,0.0,1986.3267,-0.015632402,-0.0043499274,80.0,1,556,3563
0.0,0.0,1968.165,-0.07484924,0.073205404,80.0,1,279,2789
0.0,0.0,1981.2595,-0.22088091,0.1910569,80.0,1,507,2259
0.0,0.0,1979.6279,-0.25690836,0.21909143,80.0,1,526,2410
0.0,0.0,2084.6265,-0.2018027,0.15950435,80.0,1,487,2547
0.0,0.0,1870.9541,0.18009868,-0.22075713,80.0,1,668,2200
0.0,0.0,1918.1053,-0.21494284,0.1823461,80.0,1,559,2390
0.0,0.0,1898.6176,-0.3858145,0.37756714,80.0,1,643,2018
0.0,0.0,1980.323,-0.13384321,0.07393526,80.0,1,335,2710
0.0,0.0,2123.1536,0.0,0.0,80.0,1,691,4185
0.0,0.0,2047.6755,-0.209564,0.17522748,80.0,1,458,2407
0.0,0.0,1878.8837,-0.36894697,0.35098815,80.0,1,563,1957
0.0,0.0,1871.6284,-0.1003596,0.10153444,80.0,1,660,2254
0.0,0.0,2011.6482,-0.017464424,0.0013149244,80.0,1,275,3158
0.0,0.0,2083.333,-0.25133058,0.24146195,80.0,1,624,3668
0.0,0.0,1926.8119,-0.37850842,0.37221548,80.0,1,613,2121
0.0,0.0,2111.4739,-0.2538787,0.26883206,80.0,1,702,4079
0.0,0.0,1937.6771,-0.29380053,0.2948866,80.0,1,576,2146
0.0,0.0,2217.8953,0.0,0.0,90.0,1,399,3929
0.0,2.6618254,1994.7852,-0.018613433,-0.005527916,80.0,1,489,2254
0.0,0.0,2245.9082,0.3189824,-0.27699888,90.0,1,357,4053
0.0,0.0,2107.6516,-0.24729632,0.252149,80.0,1,669,3869
0.0,0.0,2175.867,-0.2849534,0.29481286,80.0,1,549,3915
0.0,0.0,1987.4471,-0.31471446,0.27926347,80.0,1,452,2069
0.0,0.0,2015.6349,-0.21722746,0.1703281,80.0,1,510,2441
0.0,0.0,1904.7307,-0.032885596,-0.015564202,80.0,1,561,3375
0.0,0.0,1949.2306,-0.16743574,0.14169215,80.0,1,499,2199
0.0,0.0,1901.1274,-0.24434215,0.25632313,80.0,1,613,2225
0.0,0.0,2240.9763,0.0060807075,0.022031166,80.0,1,393,3989
0.0,0.0,2040.1326,0.20119224,-0.19341107,80.0,1,482,2773
0.0,0.0,2047.4689,0.4748541,-0.4357587,80.0,1,555,3607
0.0,0.0,1864.8486,-0.18932171,0.1528608,80.0,1,643,2344
0.0,0.0,2285.7341,0.13882124,-0.10023529,90.0,1,461,4101
0.0,0.0,2047.1814,0.03976532,0.033333335,80.0,1,356,2899
5.2093296,2.137012,1918.1753,0.49338147,-0.49833986,95.0,1,826,1245
0.0,0.0,2027.5824,-0.13208902,0.13021582,80.0,1,377,2824
0.0,0.0,1936.1616,-0.30534655,0.3028617,80.0,1,459,2136
0.0,0.0,1986.8173,-0.21782178,0.18802902,80.0,1,521,2386
0.0,0.0,2202.331,-0.30204892,0.30526316,80.0,1,527,3911
0.0,0.0,2215.7131,0.0,0.0,90.0,1,379,3950
0.0,0.0,1963.9998,-0.3422222,0.32166666,80.0,1,516,1987
0.0,0.0,1532.8196,0.0,0.0,80.0,1,922,90
0.0,0.0,1882.3859,-0.34603423,0.32854292,80.0,1,563,1961
0.0,0.0,1907.5933,-0.35070422,0.30754787,80.0,1,543,1954
0.0,0.0,1887.6506,-0.22615385,0.20943026,80.0,1,657,2142
0.0,0.0,1956.2201,0.0,0.0,80.0,1,760,2948
0.0,0.0,1844.6628,-0.3442623,0.3134715,80.0,1,666,1941
0.0,0.0,1870.1099,-0.270356,0.26439232,80.0,1,631,2296
0.0,0.0,1565.3195,0.0,0.0,80.0,1,867,819
0.0,0.0,2059.8384,-0.22722568,0.1805708,80.0,1,491,2462
0.0,0.0,1994.0518,-0.2170706,0.17444444,80.0,1,521,2449
0.0,0.0,1883.2919,-0.3591466,0.34118602,80.0,1,618,2007
0.0,0.0,1993.819,-0.28969878,0.23752496,80.0,1,355,2723
0.0,0.0,1936.2606,-0.039408866,0.018621037,80.0,1,565,3518
0.0,0.0,2017.0741,-0.19545288,0.17580767,80.0,1,379,2785
0.0,0.0,2051.8582,-0.18902978,0.18735224,80.0,1,435,2629
0.0,0.0,2047.9724,-0.23677787,0.18030877,80.0,1,449,2449
0.0,6.1338944,1777.5082,0.02064269,-0.080910526,80.0,1,796,1788
0.0,0.0,2126.5146,-0.2817754,0.2917772,80.0,1,588,3931
0.0,0.0,1960.1958,-0.20501764,0.19683169,80.0,1,388,2124
0.0,0.0,1919.5283,-0.3324223,0.3155867,80.0,1,573,2248
0.0,0.0,2106.6172,-0.22435473,0.24093264,80.0,1,637,3952
-2.0,0.0,1828.5737,-0.11664642,0.024161074,80.0,1,656,1053
0.0,0.0,2043.1635,-0.041888297,0.02437373,80.0,1,369,2882
0.0,0.0,2200.6858,-0.03387007,0.03920486,80.0,1,455,3758
0.0,0.0,2114.5356,-0.27620396,0.294686,80.0,1,717,4065
0.0,0.0,1944.2258,-0.18503673,0.1672355,80.0,1,545,2257
0.0,0.0,1842.5795,-0.3498704,0.34404182,80.0,1,634,1963
0.0,0.0,2276.1658,0.17696238,-0.13581353,80.0,1,488,4064
0.0,0.0,1908.0768,-0.06683481,-0.003163127,80.0,1,549,3381
0.0,0.0,2015.4543,-0.13181019,0.14409472,80.0,1,400,2629
0.0,0.0,2107.4778,-0.1024825,0.11819887,90.0,1,690,3878
0.0,0.0,2051.8394,0.17942858,-0.19721578,80.0,1,395,2905
0.0,0.0,2000.786,-0.1724138,0.13220339,80.0,1,348,2763
0.0,0.0,2222.8496,-0.30675676,0.32007954,80.0,1,513,3937
0.0,0.0,2111.5815,-0.03972366,0.045766592,80.0,1,673,3906
0.0,0.0,2239.3164,-0.17190388,0.18446602,80.0,1,460,3869
0.0,0.0,1997.752,-0.25177586,0.25908557,80.0,1,322,2805
0.0,0.0,1932.1958,-0.3482506,0.32689077,80.0,1,568,2186
0.0,0.0,1932.7122,-0.05670103,0.00947226,80.0,1,537,3481
0.0,0.0,1986.2858,0.0,0.0,80.0,1,762,3349
0.0,0.0,2030.0525,0.3627193,-0.3441488,80.0,1,326,2913
0.0,0.0,1999.5121,-0.15693982,0.12464678,80.0,1,507,2314
0.0,0.0,2012.5549,-0.23407581,0.22345483,80.0,1,321,2858
0.0,0.0,1976.0424,-0.32688263,0.30855662,80.0,1,465,2082
0.8583079,1.997652,1814.8381,0.038331725,-0.12395616,60.0,1,773,1550
0.0,0.0,1976.2651,0.0,0.0,80.0,1,784,3572
0.0,0.0,1937.0294,-0.23761997,0.22903727,80.0,1,554,2129
0.0,0.0,2119.8628,-0.28670448,0.27852136,80.0,1,591,3758
0.0,0.0,2288.4956,-0.10948905,0.13526285,80.0,1,477,4018
0.0,0.0,1963.2933,-0.20168068,0.18542336,80.0,1,488,2213
0.0,0.0,1970.7314,-0.1633844,0.13335852,80.0,1,283,2790
0.0,0.0,2065.885,-0.031554114,0.047563806,80.0,1,482,2703
0.0,0.0,2046.3927,0.18271016,-0.13226707,80.0,1,438,2857
0.0,0.0,1927.1558,-0.17138365,0.18357863,80.0,1,453,2150
0.0,0.0,2174.742,-0.24680308,0.25063613,80.0,1,550,3921
0.0,0.0,1989.367,-0.31823796,0.29681528,80.0,1,435,2069
